LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,COLONY_LABEL
Track_240,240,240,10,1,0,0,0,1,10.0,55.0,65.0,0.4882830007881809,85.32081274507497,45.710856603072884,0.0,0.07784127852854378,0.12646042645265662,0.04919531097940357,0.05909836691788321,0.03233212267495265,44.35847053527832,0.8143051514353076,0.4882830007881809,0.5996314771281076,0.04882830007881809,0.6272802939755562,1.6164318105836282,42
Track_243,243,243,16,0,0,0,0,0,15.0,56.0,71.0,0.33658768516792814,44.859232666857025,33.10767009549112,0.0,0.07899977736148038,0.15358832625571794,0.024304363159767216,0.0721937496104971,0.0356861174691411,38.287497758865356,1.1849966604222057,0.3800864471760092,0.2840410411350901,0.022439179011195208,0.2840410411350901,1.6030818103090951,31
Track_247,247,247,11,2,0,0,0,2,13.0,56.0,69.0,0.5099619059817919,98.92199792204224,95.2984476763142,0.0,0.11185238976833385,0.19057716146366285,0.042330179506692905,0.11786151807286128,0.05045252716266539,38.9043495871804,1.3237086999410097,0.5099619059817919,0.3852523640620614,0.0392278389216763,0.35071078054679133,1.6251947825861217,98
Track_251,251,251,28,0,0,0,0,0,27.0,57.0,84.0,0.7495977919863307,50.298170665052965,76.25448656498759,0.0,0.13511010913375449,0.3230704546382332,0.02124185980617931,0.11664133603874854,0.07602847836533992,61.29894045421055,3.6479729466113717,0.9568044230134868,0.2054833747280493,0.027762881184678914,0.20548337472804934,1.8145560413197543,74
Track_252,252,252,34,0,0,0,0,0,33.0,57.0,90.0,0.9491612576319882,86.47190206717286,86.80375952688902,0.0,0.09218398216515669,0.2664597664885671,0.015594321670127727,0.08325278740750161,0.05516263468114214,56.80723796171301,3.042071411450171,0.9491612576319882,0.31201149784301685,0.028762462352484492,0.31201149784301685,1.9224993879880679,86
Track_253,253,253,34,1,0,0,0,1,34.0,57.0,91.0,0.8058168895132098,72.02055949182305,100.82349346114944,0.0,0.07511157041060887,0.19482206835836266,0.014162616940339968,0.07454195193878732,0.04727693130413317,62.08160512587603,2.496930753591192,0.8243934260750032,0.32272296232254327,0.023700496750388524,0.3155372284300027,1.7649723732026643,102
Track_254,254,254,36,1,0,0,0,1,36.0,58.0,94.0,1.4839088524170316,78.9712314010068,78.20938228720918,0.0,0.08819379233702133,0.446640907899764,0.0032931707704305356,0.06179452237158488,0.08684558273092592,53.44007534450955,3.1283457292791703,1.4839088524170316,0.4743429853448302,0.04121969034491754,0.467376322671348,1.583215066672372,75
Track_255,255,255,34,6,0,0,0,3,41.0,58.0,99.0,1.3438023321785704,20.228095400518118,79.34864563316057,0.0,0.082351675728989,0.25260704281614715,0.011072936286339263,0.06791851080262476,0.06210247813136894,42.27291213764864,3.1571121285871158,1.3516389054911597,0.42564289054248905,0.03277566663850172,0.39799635342410167,1.5321754509662338,79
Track_256,256,256,46,0,0,0,0,0,45.0,58.0,103.0,1.626067227741478,32.77769066147187,95.75393588129661,0.0,0.09382936204607416,0.3034333816486295,0.016991890334525552,0.07684098867688073,0.06612806806133768,45.534066739289656,4.222321292073338,1.677920983565284,0.3851121492800967,0.036134827283143954,0.38511214928009674,1.7341043096965363,100
Track_260,260,260,40,4,0,0,0,2,44.0,59.0,103.0,1.462580463349227,15.491055417117384,23.456427005506335,0.0,0.07404548896883067,0.2008548926599267,0.017554169400455545,0.06300852971931534,0.045748890268626226,39.40276288986206,3.073502644220948,1.462580463349227,0.47586764439565093,0.033240465076118796,0.4489195160843804,1.5083085888712493,21
Track_262,262,262,10,0,0,0,0,0,9.0,59.0,68.0,0.9781042244539839,29.011903131571025,72.58593793600627,0.0,0.17972204063914368,0.3840537622752239,0.014050117032418864,0.18049543847135957,0.12198817445518395,44.15938453674316,1.6174983657522934,0.9781042244539839,0.604701831645481,0.10867824716155378,0.6047018316454811,1.5748828948001483,68
Track_263,263,263,38,3,0,0,0,1,40.0,59.0,99.0,1.3513413450840368,136.87317888365467,107.06633953710113,0.0,0.09927249918142657,0.3436649461468539,0.021225376578333732,0.07642574046771233,0.06736867471664928,44.6186264439633,3.845986443975762,1.3513413450840368,0.35136404268942173,0.03378353362710092,0.34031110232612805,1.6187276590924808,110
Track_264,264,264,37,0,0,0,0,0,36.0,59.0,95.0,1.8296602875827028,132.60447128300467,110.51240433496031,0.0,0.11322888798030434,0.4566939245817308,0.0063512085030405585,0.0994041859752374,0.08996160449953565,45.57504148741026,4.076239967290956,1.8839808631511246,0.4488598076326414,0.0508238968772973,0.44885980763264133,1.6270414022783737,115
Track_265,265,265,37,4,0,0,0,1,40.0,60.0,100.0,1.2526836831580639,132.05286439281053,74.1834816099754,0.0,0.08868179112588843,0.41016427592456745,0.012894825056556891,0.0696583325354877,0.07791660717646617,39.18574070286106,3.480908100259126,1.374298064891141,0.35987266744123797,0.0313170920789516,0.35314004917306363,1.7054740969635442,71
Track_266,266,266,41,0,0,0,0,0,40.0,60.0,100.0,1.8079673715494284,87.2026040485253,98.11876088957933,0.0,0.09252565916484498,0.3122496092696082,0.008199164282763733,0.06577556812446372,0.06884554308768917,59.66213514746689,3.701026366593799,1.8079673715494284,0.48850432081989525,0.04519918428873571,0.48850432081989525,1.708668616829367,101
Track_267,267,267,41,1,0,0,0,2,42.0,60.0,102.0,1.1011490022403698,13.854442499659498,112.4664862783615,0.0,0.0892947086385598,0.2174529304237599,0.004073007586451133,0.07823978883116928,0.05260201612671472,63.58411607509706,3.6555708482214033,1.1011490022403698,0.3012249106801274,0.026217833386675472,0.2936101565972737,1.4820028595036305,117
Track_268,268,268,39,0,0,0,0,0,38.0,61.0,99.0,1.8172726606368208,28.05702505646973,36.542083120891405,0.0,0.12989501932201947,0.8267933490163633,0.016483373340442465,0.07127888043680479,0.15250160352417622,52.63415630047138,4.93601073423674,1.8172726606368208,0.36816626998640983,0.047822964753600546,0.3681662699864099,1.640528836596206,34
