 ,Area,X,Y
766,1.171,72.104,99.825
767,1.065,105.449,100.610
768,1.033,141.759,101.074
769,1.182,104.881,101.453
770,1.214,126.672,103.056
771,1.352,2.284,104.505
772,1.182,76.166,104.620
773,0.969,136.512,106.580
774,1.160,7.108,107.731
775,1.054,83.993,108.359
776,1.033,50.830,108.503
777,1.086,132.396,110.359
778,0.841,27.991,110.831
779,1.033,13.305,112.271
780,1.245,49.194,113.125
781,0.277,141.855,113.505
782,1.182,68.680,114.595
783,1.086,174.696,115.160
784,1.405,38.293,1.587
785,1.320,143.595,1.883
786,1.373,129.367,2.023
787,1.288,138.550,2.084
788,1.096,106.291,3.392
789,1.405,97.873,9.265
790,1.118,56.693,8.983
791,0.969,54.811,11.271
792,1.214,18.687,11.781
793,1.171,132.200,14.377
794,1.469,108.471,15.897
795,1.192,43.283,16.363
796,1.011,143.472,19.011
797,1.480,159.952,19.219
798,1.288,95.285,19.530
799,1.331,167.263,21.047
800,0.862,165.388,20.675
801,1.363,81.053,22.206
802,1.245,161.580,22.161
803,2.342,114.523,23.375
804,1.256,16.553,23.706
805,1.277,115.886,26.081
806,1.182,65.930,26.494
807,1.022,129.419,27.210
808,1.043,35.448,29.307
809,1.490,87.723,29.495
810,1.480,136.961,30.213
811,1.107,175.229,30.866
812,1.331,45.405,31.928
813,1.235,52.817,32.549
814,1.331,32.318,34.666
815,1.001,28.127,36.567
816,1.203,17.414,37.024
817,1.405,131.238,39.283
818,1.022,124.482,39.189
819,1.118,67.311,42.072
820,1.501,177.320,43.140
821,1.107,12.244,43.840
822,1.373,57.129,44.212
823,1.884,85.978,44.993
824,1.214,150.637,47.142
825,1.224,83.244,48.672
826,1.309,76.807,50.278
827,1.384,139.780,52.789
828,1.182,114.015,54.703
829,1.405,56.191,56.253
830,1.118,158.961,56.397
831,1.086,129.433,56.493
832,1.214,60.241,56.820
833,1.331,53.310,58.967
834,1.203,130.385,59.454
835,1.086,160.882,61.426
836,1.171,45.387,62.707
837,1.214,174.457,62.992
838,0.979,36.195,65.282
839,1.267,118.718,65.449
840,0.947,165.919,66.302
841,1.224,110.454,67.425
842,1.235,69.280,68.752
843,1.703,31.485,69.394
844,1.001,58.249,69.497
845,1.001,66.207,71.123
846,1.107,157.337,71.528
847,1.224,28.462,72.502
848,1.299,148.114,72.831
849,1.245,64.182,73.826
850,1.022,131.590,73.788
851,1.778,9.195,75.196
852,1.043,118.602,75.234
853,1.395,49.773,76.419
854,1.160,79.663,77.736
855,1.043,113.662,77.317
856,1.054,25.031,78.155
857,2.321,34.331,78.514
858,2.310,19.684,80.130
859,1.214,53.535,80.527
860,1.118,178.976,80.140
861,0.947,144.059,82.353
862,1.277,63.064,83.549
863,1.096,92.430,85.668
864,1.096,85.825,86.588
865,1.086,79.362,87.398
866,1.384,122.989,87.156
867,1.118,63.913,87.746
868,1.086,90.525,88.359
869,1.214,161.142,89.951
870,1.128,25.739,91.101
871,2.235,44.382,92.200
872,0.937,69.870,93.093
873,1.150,136.795,94.671
874,1.150,98.666,95.838
875,1.320,162.769,96.285
876,1.309,32.474,97.116
877,1.139,87.947,97.877
878,1.224,72.109,99.852
879,1.096,105.410,100.609
880,1.033,141.731,101.056
881,1.214,104.904,101.452
882,1.214,126.672,103.056
883,1.373,2.273,104.502
884,1.214,76.146,104.627
885,1.011,136.528,106.590
886,1.160,7.103,107.737
887,1.118,83.990,108.362
888,1.043,50.822,108.514
889,1.086,132.385,110.361
890,0.862,28.003,110.815
891,1.022,13.290,112.266
892,1.288,49.191,113.123
893,0.266,141.827,113.495
894,1.160,68.672,114.593
895,1.107,174.677,115.158
896,1.405,38.293,1.587
897,1.426,129.356,2.009
898,1.299,143.599,1.875
899,1.299,138.557,2.086
900,1.075,106.281,3.378
901,1.426,97.878,9.281
902,1.214,56.670,8.984
903,0.937,54.790,11.279
904,1.203,18.689,11.788
905,1.192,132.198,14.371
906,1.469,108.471,15.897
907,1.245,43.273,16.354
908,1.001,143.458,18.980
909,1.458,159.940,19.221
910,1.299,95.285,19.539
911,1.352,167.246,21.021
912,0.862,165.388,20.675
913,1.373,81.049,22.199
914,1.267,161.575,22.177
915,2.363,114.513,23.369
916,1.277,16.540,23.704
917,1.267,115.889,26.059
918,1.203,65.928,26.495
919,1.054,129.409,27.233
920,1.043,35.448,29.307
921,1.501,87.732,29.506
922,1.501,136.960,30.213
923,1.139,175.216,30.868
924,1.352,45.403,31.911
925,1.235,52.817,32.549
926,1.373,32.303,34.683
927,0.958,28.117,36.569
928,1.277,17.395,37.064
929,1.416,131.245,39.268
930,1.033,124.486,39.196
931,1.139,67.313,42.092
932,1.501,177.356,43.140
933,1.107,12.244,43.840
934,1.331,57.119,44.217
935,1.895,85.980,44.996
936,1.182,150.630,47.144
937,1.235,83.236,48.691
938,1.352,76.790,50.267
939,1.437,139.778,52.825
940,1.192,114.006,54.702
941,1.416,56.194,56.262
942,1.182,158.948,56.428
943,1.118,129.422,56.498
944,1.235,60.220,56.802
945,1.352,53.302,58.976
946,1.203,130.380,59.454
947,1.107,160.899,61.432
948,1.160,45.390,62.702
949,1.235,174.442,62.994
950,0.958,36.195,65.282
951,1.299,118.714,65.467
952,0.969,165.924,66.298
953,1.224,110.454,67.425
954,1.224,69.283,68.753
955,1.746,31.474,69.432
956,1.011,58.246,69.504
957,1.011,66.214,71.117
958,1.118,157.330,71.524
959,1.235,28.461,72.506
960,1.299,148.131,72.839
961,1.256,64.184,73.828
962,1.022,131.592,73.795
963,1.778,9.194,75.191
964,1.043,118.602,75.234
965,1.331,49.757,76.427
966,1.171,79.659,77.736
967,1.022,113.677,77.322
968,1.054,25.019,78.136
969,2.331,34.316,78.527
970,2.299,19.683,80.136
971,1.203,53.531,80.526
972,1.118,178.962,80.145
973,0.937,144.065,82.359
974,1.288,63.070,83.550
975,1.107,92.428,85.671
976,1.118,85.842,86.595
977,1.128,79.356,87.409
978,1.395,122.997,87.152
979,1.139,63.921,87.741
980,1.086,90.525,88.359
981,1.203,161.136,89.951
982,1.139,25.716,91.110
983,2.235,44.382,92.200
984,0.958,69.874,93.112
985,1.150,136.795,94.671
986,1.192,98.658,95.824
987,1.288,162.770,96.281
988,1.309,32.474,97.116
989,1.150,87.955,97.875
990,1.214,72.103,99.857
991,1.075,105.420,100.626
992,1.075,141.749,101.088
993,1.203,104.935,101.460
994,1.224,126.663,103.054
995,1.405,2.257,104.518
996,1.203,76.143,104.627
